Date,Carsten,Yakunai,Nanu
24/036,9.3,9.3,21.8
25/036,12.0,12.0,23.4
26/036,16.7,16.7,22.7
27/036,18.2,18.2,25.9
28/036,20.6,20.6,27.1
01/037,23.8,23.8,29.6
02/037,24.4,24.4,31.5
03/037,24.8,24.8,32.4
04/037,22.6,22.6,32.2
05/037,24.7,24.7,34.1
06/037,27.9,27.9,33.6
07/037,29.8,29.8,35.0
08/037,31.2,31.2,35.1
09/037,29.3,29.3,34.1
10/037,24.8,24.8,31.3
11/037,25.4,25.4,30.7
12/037,22.5,22.5,30.1
13/037,22.2,22.2,28.3
14/037,22.0,22.0,27.0
15/037,20.0,20.0,25.6
16/037,18.6,18.6,25.8
17/037,15.5,15.5,22.4
18/037,12.4,12.4,19.7
19/037,14.3,14.3,18.0
20/037,8.2,8.2,17.4
21/037,10.5,10.5,15.5
22/037,6.4,6.4,16.6
23/037,5.6,5.6,18.0
24/037,9.5,9.5,16.2
25/037,11.3,11.3,16.4
26/037,11.6,11.6,18.6
27/037,11.8,11.8,20.1
28/037,15.0,15.0,20.5
01/038,16.6,16.6,22.2
02/038,16.0,16.0,23.1
03/038,17.1,17.1,24.6
04/038,19.2,19.2,26.4
05/038,22.6,22.6,27.6
06/038,23.8,23.8,27.2
07/038,24.1,24.1,26.3
08/038,22.9,22.9,27.0
09/038,20.4,20.4,27.0
10/038,23.2,23.2,29.4
11/038,21.0,21.0,30.8
12/038,17.3,17.3,29.3
13/038,15.9,15.9,29.5
14/038,15.7,15.7,28.6
15/038,15.3,15.3,27.1
16/038,14.2,14.2,25.5
17/038,11.9,11.9,24.3
18/038,11.1,11.1,23.7
19/038,12.0,12.0,22.7
20/038,10.9,10.9,21.1
21/038,7.7,7.7,20.0
22/038,8.5,8.5,20.6
23/038,5.4,5.4,21.2
24/038,8.6,8.6,22.8
25/038,9.0,9.0,22.1
26/038,11.5,11.5,22.5
27/038,10.0,10.0,23.5
28/038,12.2,12.2,23.3
01/039,16.1,16.1,22.7
02/039,17.1,17.1,24.4
03/039,16.2,16.2,23.4
04/039,19.7,19.7,23.7
05/039,23.4,23.4,24.2
06/039,22.5,22.5,26.2
07/039,23.3,23.3,25.7
08/039,24.9,24.9,26.6
09/039,22.6,22.6,25.1
10/039,22.7,22.7,24.3
11/039,20.6,20.6,21.5
12/039,18.0,18.0,21.6
13/039,16.9,16.9,22.5
14/039,16.3,16.3,20.6
15/039,16.9,16.9,17.6
16/039,13.7,13.7,16.8
17/039,12.1,12.1,18.9
18/039,7.1,7.1,19.7
19/039,5.6,5.6,20.3
20/039,4.6,4.6,19.8
21/039,5.0,5.0,18.9
22/039,5.2,5.2,17.5
23/039,7.0,7.0,17.8
24/039,6.5,6.5,16.9
25/039,9.0,9.0,20.6
26/039,13.0,13.0,21.5
27/039,13.8,13.8,23.7
28/039,15.3,15.3,25.0
01/040,15.0,15.0,25.2
02/040,17.1,17.1,27.4
03/040,18.4,18.4,30.8
04/040,22.6,22.6,33.4
05/040,26.1,26.1,34.2
06/040,27.9,27.9,34.3
07/040,29.1,29.1,33.3
08/040,27.0,27.0,32.0
09/040,26.3,26.3,31.8
10/040,23.7,23.7,31.4
11/040,23.2,23.2,29.5
12/040,21.2,21.2,31.1
13/040,21.1,21.1,29.0
14/040,17.6,17.6,28.1
15/040,15.8,15.8,28.6
16/040,16.2,16.2,28.9
17/040,14.9,14.9,25.8
18/040,12.8,12.8,24.2
19/040,10.8,10.8,24.3
20/040,9.2,9.2,21.5
21/040,5.2,5.2,20.7
22/040,5.4,5.4,19.4
23/040,8.1,8.1,20.3
24/040,10.9,10.9,20.6
25/040,10.7,10.7,21.3
26/040,11.1,11.1,21.4
27/040,12.8,12.8,19.8
28/040,14.8,14.8,21.9
01/041,15.9,15.9,22.2
02/041,15.3,15.3,23.4
03/041,17.9,17.9,26.6
04/041,21.6,21.6,25.6
05/041,25.7,25.7,26.2
06/041,28.5,28.5,27.8
07/041,30.6,30.6,29.5
08/041,30.2,30.2,29.2
09/041,29.1,29.1,29.8
10/041,28.0,28.0,30.7
11/041,24.0,24.0,30.5
12/041,25.5,25.5,30.1
13/041,23.4,23.4,30.4
14/041,21.6,21.6,29.5
15/041,19.2,19.2,29.0
16/041,18.9,18.9,28.1
17/041,18.5,18.5,28.2
18/041,17.9,17.9,27.9
19/041,14.0,14.0,25.3
20/041,11.6,11.6,24.4
21/041,9.5,9.5,24.2
22/041,8.2,8.2,23.2
23/041,9.5,9.5,23.2
24/041,9.5,9.5,24.4
25/041,10.9,10.9,24.6
26/041,12.3,12.3,24.6
27/041,14.9,14.9,24.8
28/041,17.1,17.1,25.8
01/042,16.9,16.9,26.4
02/042,18.0,18.0,27.1
03/042,19.6,19.6,28.5
04/042,22.2,22.2,30.1
05/042,24.4,24.4,28.8
06/042,25.6,25.6,30.7
07/042,28.5,28.5,31.4
08/042,27.8,27.8,30.0
09/042,26.6,26.6,30.0
10/042,23.3,23.3,28.9
11/042,22.9,22.9,26.6
12/042,18.6,18.6,25.1
13/042,18.4,18.4,21.1
14/042,17.2,17.2,19.8
15/042,18.6,18.6,19.2
16/042,16.2,16.2,17.9
17/042,15.2,15.2,18.1
18/042,12.4,12.4,18.3
19/042,12.3,12.3,16.7
20/042,7.6,7.6,16.9
21/042,5.1,5.1,16.3
22/042,2.5,2.5,15.6
23/042,1.9,1.9,18.3
24/042,8.3,8.3,19.6
25/042,9.3,9.3,19.6
26/042,12.1,12.1,19.9
27/042,12.4,12.4,21.7
28/042,15.1,15.1,21.9
01/043,18.7,18.7,24.1
02/043,21.0,21.0,25.7
03/043,23.1,23.1,28.0
04/043,24.0,24.0,29.8
05/043,23.9,23.9,29.3
06/043,23.8,23.8,32.2
07/043,24.2,24.2,31.6
08/043,25.7,25.7,29.9
09/043,27.5,27.5,29.6
10/043,25.2,25.2,28.9
11/043,22.1,22.1,30.7
12/043,21.4,21.4,28.1
13/043,18.8,18.8,28.0
14/043,17.3,17.3,26.0
15/043,16.3,16.3,24.0
16/043,18.5,18.5,24.0
17/043,17.0,17.0,21.6
18/043,12.9,12.9,21.6
19/043,10.6,10.6,20.5
20/043,8.7,8.7,21.0
21/043,4.9,4.9,21.1
22/043,5.1,5.1,18.3
23/043,2.5,2.5,16.7
24/043,3.2,3.2,18.9
25/043,6.8,6.8,21.9
26/043,12.4,12.4,20.8
27/043,12.0,12.0,20.8
28/043,16.0,16.0,20.5
01/044,17.6,17.6,21.5
02/044,20.0,20.0,21.8
03/044,19.8,19.8,22.3
04/044,19.8,19.8,24.1
05/044,22.6,22.6,23.9
06/044,26.0,26.0,26.3
07/044,26.5,26.5,26.5
08/044,26.9,26.9,27.8
09/044,25.6,25.6,28.1
10/044,23.6,23.6,28.8
11/044,22.6,22.6,26.0
12/044,21.3,21.3,25.6
13/044,20.6,20.6,24.0
14/044,19.9,19.9,24.9
15/044,17.7,17.7,25.4
16/044,19.5,19.5,24.4
17/044,16.8,16.8,23.8
18/044,18.1,18.1,23.1
19/044,15.2,15.2,20.9
20/044,12.6,12.6,22.1
21/044,12.0,12.0,23.0
22/044,9.9,9.9,21.5
23/044,8.6,8.6,21.4
24/044,7.7,7.7,23.3
25/044,12.7,12.7,24.3
26/044,13.4,13.4,23.9
27/044,15.4,15.4,25.0
28/044,17.4,17.4,26.5
01/045,17.9,17.9,28.9
02/045,21.4,21.4,27.8
03/045,23.7,23.7,28.5
04/045,23.8,23.8,31.0
05/045,24.9,24.9,31.5
06/045,29.2,29.2,33.3
07/045,32.3,32.3,33.8
08/045,32.4,32.4,33.2
09/045,32.3,32.3,32.8
10/045,28.9,28.9,30.8
11/045,27.4,27.4,28.6
12/045,22.2,22.2,27.9
13/045,18.0,18.0,26.5
14/045,19.0,19.0,24.8
15/045,15.4,15.4,24.8
16/045,13.8,13.8,23.6
17/045,13.1,13.1,21.9
18/045,11.4,11.4,19.0
19/045,10.9,10.9,18.5
20/045,9.3,9.3,18.8
21/045,8.4,8.4,19.3
22/045,10.9,10.9,19.4
23/045,11.2,11.2,19.3
24/045,10.5,10.5,21.0
25/045,14.6,14.6,20.8
26/045,18.6,18.6,23.5
27/045,19.7,19.7,24.0
28/045,21.3,21.3,25.6
01/046,22.0,22.0,27.2
02/046,24.8,24.8,29.4
03/046,23.6,23.6,30.1
04/046,24.0,24.0,31.5
05/046,25.9,25.9,32.1
06/046,28.5,28.5,34.1
07/046,30.6,30.6,33.5
08/046,28.8,28.8,33.5
09/046,27.4,27.4,33.4
10/046,28.9,28.9,34.5
11/046,24.0,24.0,34.5
12/046,22.1,22.1,33.9
13/046,21.4,21.4,32.7
14/046,19.7,19.7,32.8
15/046,17.4,17.4,31.5
16/046,16.5,16.5,29.9
17/046,15.5,15.5,27.2
18/046,13.9,13.9,27.4
19/046,14.3,14.3,28.3
20/046,11.9,11.9,25.2
21/046,8.3,8.3,23.9
22/046,8.1,8.1,22.2
23/046,9.7,9.7,21.6
24/046,8.6,8.6,20.2
25/046,10.7,10.7,20.8
26/046,10.9,10.9,22.4
27/046,14.3,14.3,22.1
28/046,18.7,18.7,24.9
01/047,20.4,20.4,24.4
02/047,23.3,23.3,25.5
03/047,24.2,24.2,27.8
04/047,25.5,25.5,24.9
05/047,28.2,28.2,27.4
06/047,29.7,29.7,28.5
07/047,31.1,31.1,27.5
08/047,28.0,28.0,28.5
09/047,27.7,27.7,27.7
10/047,27.0,27.0,25.0
11/047,25.6,25.6,25.3
12/047,23.7,23.7,23.1
13/047,20.2,20.2,24.8
14/047,20.6,20.6,23.5
15/047,19.3,19.3,22.3
16/047,18.4,18.4,22.3
17/047,14.6,14.6,22.1
18/047,12.4,12.4,22.0
19/047,8.7,8.7,21.7
20/047,5.5,5.5,21.1
21/047,3.8,3.8,21.3
22/047,2.7,2.7,21.9
23/047,0.3,0.3,21.4
24/047,3.4,3.4,22.1
25/047,5.0,5.0,23.1
26/047,8.7,8.7,22.1
27/047,12.4,12.4,24.9
28/047,17.1,17.1,25.5
01/048,17.1,17.1,25.4
02/048,18.9,18.9,26.9
03/048,20.1,20.1,28.1
04/048,22.6,22.6,31.1
05/048,21.1,21.1,29.9
06/048,26.5,26.5,31.2
07/048,28.3,28.3,32.0
08/048,29.8,29.8,31.1
09/048,26.3,26.3,31.2
10/048,23.1,23.1,28.7
11/048,23.6,23.6,27.3
12/048,19.5,19.5,24.6
13/048,19.6,19.6,23.6
14/048,18.9,18.9,22.9
15/048,13.6,13.6,23.3
16/048,17.0,17.0,21.4
17/048,14.3,14.3,18.9
18/048,15.7,15.7,19.3
19/048,12.0,12.0,18.3
20/048,9.5,9.5,17.2
21/048,10.3,10.3,15.5
22/048,8.5,8.5,13.8
23/048,9.0,9.0,16.8
24/048,8.2,8.2,15.3
25/048,10.1,10.1,16.1
26/048,11.1,11.1,17.7
27/048,12.4,12.4,18.7
28/048,15.2,15.2,19.4
01/049,16.2,16.2,20.0
02/049,18.9,18.9,20.2
03/049,21.6,21.6,21.2
04/049,20.5,20.5,24.0
05/049,22.7,22.7,25.0
06/049,27.0,27.0,27.0
07/049,26.1,26.1,27.3
08/049,26.9,26.9,28.1
09/049,24.7,24.7,30.7
10/049,21.6,21.6,29.6
11/049,19.5,19.5,29.8
12/049,17.0,17.0,29.2
13/049,15.7,15.7,28.9
14/049,12.8,12.8,26.3
15/049,16.4,16.4,25.7
16/049,14.8,14.8,24.7
17/049,14.0,14.0,23.6
18/049,11.6,11.6,23.6
19/049,9.1,9.1,23.2
20/049,8.8,8.8,20.1
21/049,6.6,6.6,19.8
22/049,5.9,5.9,19.3
23/049,6.2,6.2,19.3
24/049,9.4,9.4,21.7
25/049,10.7,10.7,22.8
26/049,12.8,12.8,23.7
27/049,12.9,12.9,21.8
28/049,14.2,14.2,21.9
01/050,17.6,17.6,25.3
02/050,19.3,19.3,24.6
03/050,19.2,19.2,24.9
04/050,21.4,21.4,26.8
05/050,23.1,23.1,29.1
06/050,26.4,26.4,29.6
07/050,25.8,25.8,30.4
08/050,25.1,25.1,29.7
09/050,25.5,25.5,28.3
10/050,26.9,26.9,27.9
11/050,25.3,25.3,26.6
12/050,23.4,23.4,25.2
13/050,21.0,21.0,23.7
14/050,19.0,19.0,24.0
15/050,17.9,17.9,23.2
16/050,16.7,16.7,23.9
17/050,16.6,16.6,23.8
18/050,14.1,14.1,22.8
19/050,13.1,13.1,20.6
20/050,11.0,11.0,20.6
21/050,8.8,8.8,18.6
22/050,4.9,4.9,18.7
23/050,6.2,6.2,20.1
24/050,7.1,7.1,20.5
25/050,10.4,10.4,23.3
26/050,13.0,13.0,25.0
27/050,13.7,13.7,25.2
28/050,17.2,17.2,27.0
01/051,16.6,16.6,30.0
02/051,17.0,17.0,32.0
03/051,19.9,19.9,31.7
04/051,21.8,21.8,34.5
05/051,23.9,23.9,35.1
06/051,26.9,26.9,37.2
07/051,26.5,26.5,37.1
08/051,27.7,27.7,36.6
09/051,28.3,28.3,36.6
10/051,28.1,28.1,34.5
11/051,27.2,27.2,33.3
12/051,25.0,25.0,30.5
13/051,20.4,20.4,31.3
14/051,20.0,20.0,28.5
15/051,16.5,16.5,28.1
16/051,18.0,18.0,26.3
17/051,17.6,17.6,23.8
18/051,17.2,17.2,22.3
19/051,13.5,13.5,21.7
20/051,12.2,12.2,19.4
21/051,12.6,12.6,20.2
22/051,10.1,10.1,17.6
23/051,10.8,10.8,17.3
24/051,15.0,15.0,17.9
25/051,15.1,15.1,17.3
26/051,16.9,16.9,17.8
27/051,17.8,17.8,20.1
28/051,19.4,19.4,22.6
01/052,18.9,18.9,22.5
02/052,16.5,16.5,24.0
03/052,21.8,21.8,23.2
04/052,22.2,22.2,26.4
05/052,25.5,25.5,27.7
06/052,27.8,27.8,28.6
07/052,27.0,27.0,28.5
08/052,29.3,29.3,28.5
09/052,27.5,27.5,28.6
10/052,24.3,24.3,29.1
11/052,22.7,22.7,28.6
12/052,23.7,23.7,27.4
13/052,20.6,20.6,26.5
14/052,19.7,19.7,26.2
15/052,17.3,17.3,25.3
16/052,17.5,17.5,26.5
17/052,14.9,14.9,26.6
18/052,16.8,16.8,25.8
19/052,13.3,13.3,24.2
20/052,9.9,9.9,23.9
21/052,9.4,9.4,21.9
22/052,8.7,8.7,20.9
23/052,9.7,9.7,21.9
24/052,8.3,8.3,21.2
25/052,10.3,10.3,23.3
26/052,12.5,12.5,25.4
27/052,15.8,15.8,25.1
28/052,15.9,15.9,25.3
01/053,19.6,19.6,26.8
02/053,20.2,20.2,25.7
03/053,21.1,21.1,25.2
04/053,20.7,20.7,28.2
05/053,25.5,25.5,26.8
06/053,27.1,27.1,28.9
07/053,28.6,28.6,29.0
08/053,28.2,28.2,27.2
09/053,26.7,26.7,26.5
10/053,24.0,24.0,27.3
11/053,24.5,24.5,25.7
12/053,23.6,23.6,24.0
13/053,21.4,21.4,23.0
14/053,21.3,21.3,23.8
15/053,20.1,20.1,20.8
16/053,16.8,16.8,20.4
17/053,12.8,12.8,19.9
18/053,9.4,9.4,18.5
19/053,10.0,10.0,16.2
20/053,7.8,7.8,17.6
21/053,8.2,8.2,18.7
22/053,6.7,6.7,20.1
23/053,5.2,5.2,20.1
24/053,8.2,8.2,20.4
25/053,9.5,9.5,20.4
26/053,8.4,8.4,21.8
27/053,11.2,11.2,24.5
28/053,14.5,14.5,24.6
01/054,16.3,16.3,27.0
02/054,17.4,17.4,28.1
03/054,21.5,21.5,28.8
04/054,22.8,22.8,32.2
05/054,24.2,24.2,31.5
06/054,28.0,28.0,31.6
07/054,27.8,27.8,33.2
08/054,28.7,28.7,34.1
09/054,26.3,26.3,34.4
10/054,25.9,25.9,33.9
11/054,22.8,22.8,33.0
12/054,21.2,21.2,30.7
13/054,19.3,19.3,30.2
14/054,19.2,19.2,28.0
15/054,19.6,19.6,26.5
16/054,16.1,16.1,24.8
17/054,14.5,14.5,24.6
18/054,11.1,11.1,23.3
19/054,9.6,9.6,22.9
20/054,9.2,9.2,20.5
21/054,6.1,6.1,18.4
22/054,5.9,5.9,18.9
23/054,8.6,8.6,20.4
24/054,10.0,10.0,20.6
25/054,12.0,12.0,19.3
26/054,11.2,11.2,20.2
27/054,17.2,17.2,20.9
28/054,17.5,17.5,21.4
01/055,19.0,19.0,24.1
02/055,20.9,20.9,25.2
03/055,24.6,24.6,26.1
04/055,27.7,27.7,27.0
05/055,26.5,26.5,29.0
06/055,28.2,28.2,30.5
07/055,30.1,30.1,30.6
08/055,29.9,29.9,31.2
09/055,28.6,28.6,29.2
10/055,26.3,26.3,29.2
11/055,26.2,26.2,30.4
12/055,23.5,23.5,28.4
13/055,19.0,19.0,28.9
14/055,20.9,20.9,29.1
15/055,20.1,20.1,27.5
16/055,18.1,18.1,27.1
17/055,18.1,18.1,25.6
18/055,16.6,16.6,27.1
19/055,13.8,13.8,27.4
20/055,11.5,11.5,25.4
21/055,10.7,10.7,23.5
22/055,10.6,10.6,24.5
23/055,7.8,7.8,25.1
24/055,12.7,12.7,25.0
25/055,13.4,13.4,25.7
26/055,15.3,15.3,27.3
27/055,18.4,18.4,26.9
28/055,20.4,20.4,27.9
01/056,21.7,21.7,30.9
02/056,23.4,23.4,29.5
03/056,23.5,23.5,29.6
04/056,27.1,27.1,30.7
05/056,27.7,27.7,34.4
06/056,30.7,30.7,34.5
07/056,32.4,32.4,34.2
08/056,32.7,32.7,32.0
09/056,28.9,28.9,31.6
10/056,28.8,28.8,32.3
11/056,24.8,24.8,27.4
12/056,22.3,22.3,28.5
13/056,20.5,20.5,26.6
14/056,21.0,21.0,24.8
15/056,20.2,20.2,21.5
16/056,16.0,16.0,22.5
17/056,17.0,17.0,22.0
18/056,16.9,16.9,22.4
19/056,15.0,15.0,18.6
20/056,12.8,12.8,16.1
21/056,7.9,7.9,18.1
22/056,6.8,6.8,17.3
23/056,5.2,5.2,16.8
24/056,6.8,6.8,18.2
25/056,7.6,7.6,19.7
26/056,10.5,10.5,20.7
27/056,11.5,11.5,21.3
28/056,15.1,15.1,22.3
01/057,18.8,18.8,23.5
02/057,22.6,22.6,26.4
03/057,25.4,25.4,27.9
04/057,24.8,24.8,30.4
05/057,25.2,25.2,31.1
06/057,27.6,27.6,31.9
07/057,27.6,27.6,32.3
08/057,28.7,28.7,33.5
09/057,28.1,28.1,32.8
10/057,29.1,29.1,33.6
11/057,25.5,25.5,32.4
12/057,27.3,27.3,31.5
13/057,26.5,26.5,30.9
14/057,24.3,24.3,28.4
15/057,19.8,19.8,26.1
16/057,18.6,18.6,24.8
17/057,17.5,17.5,25.4
18/057,15.9,15.9,25.3
19/057,12.1,12.1,24.1
20/057,9.8,9.8,22.2
21/057,8.9,8.9,20.6
22/057,7.7,7.7,20.6
23/057,6.8,6.8,19.3
24/057,9.2,9.2,19.9
25/057,13.2,13.2,18.8
26/057,16.1,16.1,17.2
27/057,15.4,15.4,18.4
28/057,15.4,15.4,19.1
01/058,18.5,18.5,18.7
02/058,18.3,18.3,20.6
03/058,23.3,23.3,23.5
04/058,23.5,23.5,22.7
05/058,22.9,22.9,23.2
06/058,25.0,25.0,25.8
07/058,26.6,26.6,23.9
08/058,28.2,28.2,25.4
09/058,25.9,25.9,24.2
10/058,25.0,25.0,23.9
11/058,21.3,21.3,22.5
12/058,20.7,20.7,22.4
13/058,16.1,16.1,23.2
14/058,14.8,14.8,20.8
15/058,15.7,15.7,21.4
16/058,15.9,15.9,21.1
17/058,13.9,13.9,20.9
18/058,12.1,12.1,20.4
19/058,10.1,10.1,19.8
20/058,6.6,6.6,19.9
21/058,8.1,8.1,17.8
22/058,5.8,5.8,17.1
23/058,6.7,6.7,16.6
24/058,6.4,6.4,17.3
25/058,7.7,7.7,20.4
26/058,12.1,12.1,21.2
27/058,12.9,12.9,24.1
28/058,16.1,16.1,24.6
01/059,18.6,18.6,25.8
02/059,19.7,19.7,26.6
03/059,19.5,19.5,27.3
04/059,22.9,22.9,30.1
05/059,26.1,26.1,31.6
06/059,28.6,28.6,31.4
07/059,26.1,26.1,30.8
08/059,24.4,24.4,31.8
09/059,23.8,23.8,29.9
10/059,24.4,24.4,28.1
11/059,24.3,24.3,27.6
12/059,20.3,20.3,26.3
13/059,19.8,19.8,24.4
14/059,17.1,17.1,21.3
15/059,16.5,16.5,22.2
16/059,14.1,14.1,21.6
17/059,12.3,12.3,21.6
18/059,11.7,11.7,21.4
19/059,8.1,8.1,20.5
20/059,4.3,4.3,19.5
21/059,5.3,5.3,17.2
22/059,5.6,5.6,16.0
23/059,5.1,5.1,15.9
24/059,3.6,3.6,15.7
25/059,8.3,8.3,16.5
26/059,11.0,11.0,18.8
27/059,12.0,12.0,19.8
28/059,14.0,14.0,20.5
01/060,15.1,15.1,21.6
02/060,18.0,18.0,24.9
03/060,22.4,22.4,25.7
04/060,24.2,24.2,28.7
05/060,22.6,22.6,30.2
06/060,24.9,24.9,32.8
07/060,26.8,26.8,34.1
08/060,28.6,28.6,33.8
09/060,27.2,27.2,33.3
10/060,25.0,25.0,33.6
11/060,21.8,21.8,32.2
12/060,21.9,21.9,32.1
13/060,18.9,18.9,30.4
14/060,17.6,17.6,29.4
15/060,17.3,17.3,28.3
16/060,15.9,15.9,27.4
17/060,14.8,14.8,26.8
18/060,14.3,14.3,25.2
19/060,13.1,13.1,25.4
20/060,8.3,8.3,23.7
21/060,6.0,6.0,24.7
22/060,6.1,6.1,23.0
23/060,5.3,5.3,23.3
24/060,6.7,6.7,23.0
25/060,10.0,10.0,24.0
26/060,12.6,12.6,23.5
27/060,14.0,14.0,24.3
28/060,16.3,16.3,25.2
01/061,16.9,16.9,25.2
02/061,16.5,16.5,27.3
03/061,17.9,17.9,27.8
04/061,23.2,23.2,26.9
05/061,24.8,24.8,26.7
06/061,23.1,23.1,28.2
07/061,25.7,25.7,27.8
08/061,25.2,25.2,27.3
09/061,24.4,24.4,29.2
10/061,27.2,27.2,27.7
11/061,24.6,24.6,27.5
12/061,24.9,24.9,25.3
13/061,22.4,22.4,24.9
14/061,21.9,21.9,24.4
15/061,19.0,19.0,21.9
16/061,17.4,17.4,23.0
17/061,16.6,16.6,21.5
18/061,17.9,17.9,22.3
19/061,15.0,15.0,21.7
20/061,10.7,10.7,21.4
21/061,10.7,10.7,22.0
22/061,10.4,10.4,24.7
23/061,9.2,9.2,24.4
24/061,11.6,11.6,23.3
25/061,14.6,14.6,23.9
26/061,13.0,13.0,23.6
27/061,14.7,14.7,26.1
28/061,15.5,15.5,27.1
01/062,18.8,18.8,29.8
02/062,21.6,21.6,30.3
03/062,25.3,25.3,31.0
04/062,24.7,24.7,31.9
05/062,24.5,24.5,32.6
06/062,28.8,28.8,34.0
07/062,29.4,29.4,33.9
08/062,31.1,31.1,34.1
09/062,31.0,31.0,31.5
10/062,28.1,28.1,31.2
11/062,25.9,25.9,29.3
12/062,22.5,22.5,28.4
13/062,19.4,19.4,28.9
14/062,14.5,14.5,28.1
15/062,12.2,12.2,28.1
16/062,13.3,13.3,25.3
17/062,10.5,10.5,23.0
18/062,10.2,10.2,20.5
19/062,10.5,10.5,19.9
20/062,8.3,8.3,18.1
21/062,5.8,5.8,18.4
22/062,7.3,7.3,17.2
23/062,6.7,6.7,17.5
24/062,7.9,7.9,15.7
25/062,9.0,9.0,15.1
26/062,11.2,11.2,16.0
27/062,13.3,13.3,17.0
28/062,16.2,16.2,19.8
01/063,19.2,19.2,21.1
02/063,20.6,20.6,22.9
03/063,18.6,18.6,23.0
04/063,20.6,20.6,25.5
05/063,25.6,25.6,26.6
06/063,29.6,29.6,28.4
07/063,29.1,29.1,30.0
08/063,31.5,31.5,28.5
09/063,28.5,28.5,29.0
10/063,27.9,27.9,26.6
11/063,24.4,24.4,27.2
12/063,22.0,22.0,27.0
13/063,20.1,20.1,28.7
14/063,21.4,21.4,26.8
15/063,18.9,18.9,28.3
16/063,19.0,19.0,27.5
17/063,16.9,16.9,25.5
18/063,14.3,14.3,24.4
19/063,11.0,11.0,24.0
20/063,8.9,8.9,23.2
21/063,8.9,8.9,22.6
22/063,5.3,5.3,22.0
23/063,5.5,5.5,21.7
24/063,7.6,7.6,20.8
25/063,8.3,8.3,23.2
26/063,7.8,7.8,25.1
27/063,12.1,12.1,26.9
28/063,13.5,13.5,27.5
01/064,18.7,18.7,26.7
02/064,18.2,18.2,27.1
03/064,18.3,18.3,28.7
04/064,20.5,20.5,28.4
05/064,26.9,26.9,29.1
06/064,29.9,29.9,29.4
07/064,30.7,30.7,29.2
08/064,27.6,27.6,29.0
09/064,26.9,26.9,29.3
10/064,24.4,24.4,29.0
11/064,22.8,22.8,29.0
12/064,21.5,21.5,27.5
13/064,18.3,18.3,24.1
14/064,17.0,17.0,24.1
15/064,19.2,19.2,22.2
16/064,15.9,15.9,21.3
17/064,16.6,16.6,20.1
18/064,14.9,14.9,21.2
19/064,10.9,10.9,20.8
20/064,9.3,9.3,21.6
21/064,8.4,8.4,19.3
22/064,8.0,8.0,17.9
23/064,6.4,6.4,17.4
24/064,10.9,10.9,21.0
25/064,11.7,11.7,21.6
26/064,15.1,15.1,22.4
27/064,16.8,16.8,24.9
28/064,19.3,19.3,26.5
01/065,22.7,22.7,28.5
02/065,24.8,24.8,30.8
03/065,23.8,23.8,32.3
04/065,25.0,25.0,35.1
