Date,CarstenRainfall,NanuRainfall
28/041,4.1,0.0
01/042,0.0,36.2
02/042,0.0,15.6
03/042,0.0,9.1
04/042,0.0,5.3
05/042,0.0,0.0
06/042,1.9,19.1
07/042,0.0,11.2
08/042,0.0,0.0
09/042,1.9,0.8
10/042,1.3,1.6
11/042,0.0,1.2
12/042,1.6,31.9
13/042,3.4,2.4
14/042,0.0,11.2
15/042,0.0,0.0
16/042,1.5,0.0
17/042,0.0,1.2
18/042,3.8,15.4
19/042,0.0,0.0
20/042,0.0,2.0
21/042,2.6,0.0
22/042,2.6,0.0
23/042,3.5,1.6
24/042,0.0,0.0
25/042,0.0,1.5
26/042,0.0,1.4
27/042,3.5,0.7
28/042,0.0,0.8
01/043,0.0,0.0
02/043,0.0,11.7
03/043,2.4,1.0
04/043,0.0,1.7
05/043,0.0,1.8
06/043,1.7,1.5
07/043,1.2,11.2
08/043,0.0,1.4
09/043,4.4,0.0
10/043,0.0,1.0
11/043,0.0,1.9
12/043,0.0,0.0
13/043,0.0,8.3
14/043,0.0,2.2
15/043,3.3,1.5
16/043,0.0,1.1
17/043,0.0,2.2
18/043,0.0,5.8
19/043,3.8,8.8
20/043,0.0,0.0
21/043,0.0,1.2
22/043,32.6,6.9
23/043,0.0,1.4
24/043,0.0,2.2
25/043,0.0,1.4
26/043,0.0,1.2
27/043,0.0,10.2
28/043,0.0,16.6
01/044,3.1,3.3
02/044,0.0,1.0
03/044,0.0,1.3
04/044,0.0,0.8
05/044,0.0,1.7
06/044,0.0,3.5
07/044,0.0,4.2
08/044,0.0,0.0
09/044,2.6,4.7
10/044,0.0,14.7
11/044,0.0,0.0
12/044,0.0,1.9
13/044,2.3,10.0
14/044,0.0,8.0
15/044,0.0,5.0
16/044,4.1,0.0
17/044,0.0,2.0
18/044,12.9,2.3
19/044,0.0,9.0
20/044,0.0,1.0
21/044,0.0,1.6
22/044,2.5,5.4
23/044,0.0,1.3
24/044,0.0,1.0
25/044,0.0,2.7
26/044,2.2,0.0
27/044,0.0,2.3
28/044,3.5,2.8
01/045,0.0,9.0
02/045,3.5,7.0
03/045,2.4,0.8
04/045,0.0,2.0
05/045,26.8,0.8
06/045,0.0,4.6
07/045,1.5,0.0
08/045,0.0,9.3
09/045,2.8,1.3
10/045,1.3,0.0
11/045,0.0,1.6
12/045,0.0,1.5
13/045,0.0,9.8
14/045,1.8,1.2
15/045,0.0,0.0
16/045,2.0,1.5
17/045,0.0,0.8
18/045,0.0,2.7
19/045,0.0,6.2
20/045,0.0,18.6
21/045,0.0,1.2
22/045,38.3,3.8
23/045,1.4,0.7
24/045,0.0,0.9
25/045,3.6,1.1
26/045,3.4,0.9
27/045,3.9,0.0
28/045,1.1,0.0
01/046,0.0,0.0
02/046,3.0,1.5
03/046,2.8,2.2
04/046,0.0,0.0
05/046,1.7,1.5
06/046,2.2,1.0
07/046,0.0,0.0
08/046,0.0,1.7
09/046,4.0,2.2
10/046,2.3,0.0
11/046,0.0,0.0
12/046,3.3,0.0
13/046,0.0,14.8
14/046,0.0,2.1
15/046,1.2,1.9
16/046,0.0,9.0
17/046,0.0,16.3
18/046,0.0,0.0
19/046,13.0,0.0
20/046,0.0,1.0
21/046,0.0,0.0
22/046,0.0,18.1
23/046,0.0,1.1
24/046,12.2,1.2
25/046,0.0,0.0
26/046,0.0,0.0
27/046,2.9,5.9
28/046,0.0,0.8
01/047,0.0,2.0
02/047,18.8,0.0
03/047,0.0,3.5
04/047,0.0,0.0
05/047,2.0,9.5
06/047,0.0,0.0
07/047,0.0,1.6
08/047,2.5,7.1
09/047,0.0,1.1
10/047,2.4,0.0
11/047,1.7,0.9
12/047,0.0,1.5
13/047,0.0,1.1
14/047,0.0,1.1
15/047,0.0,1.2
16/047,3.6,11.6
17/047,3.0,14.5
18/047,2.1,0.0
19/047,3.1,1.6
20/047,0.0,1.0
21/047,2.9,7.9
22/047,0.0,1.6
23/047,0.0,1.5
24/047,3.3,0.0
25/047,3.7,1.1
26/047,0.0,1.4
27/047,0.0,10.9
28/047,0.0,2.0
01/048,1.2,0.8
02/048,0.0,2.2
03/048,0.0,1.9
04/048,0.0,3.6
05/048,0.0,5.1
06/048,0.0,0.0
07/048,0.0,9.8
08/048,3.6,6.2
09/048,3.3,16.8
10/048,0.0,1.1
11/048,1.4,1.1
12/048,3.6,2.1
13/048,0.0,2.6
14/048,4.2,0.9
15/048,0.0,0.7
16/048,0.0,1.9
17/048,21.5,2.7
18/048,4.1,14.0
19/048,0.0,1.9
20/048,0.0,7.5
21/048,0.0,0.0
22/048,0.0,2.3
23/048,1.8,1.2
24/048,0.0,7.0
25/048,0.0,1.7
26/048,2.7,0.0
27/048,2.5,1.8
28/048,0.0,1.5
01/049,0.0,0.0
02/049,0.0,0.0
03/049,0.0,5.2
04/049,0.0,2.1
05/049,0.0,5.9
06/049,0.0,0.8
07/049,0.0,1.0
08/049,0.0,0.8
09/049,3.6,14.3
10/049,3.1,1.5
11/049,0.0,0.6
12/049,0.0,0.8
13/049,0.0,1.0
14/049,8.9,10.8
15/049,0.0,5.4
16/049,2.7,2.3
17/049,0.0,0.0
18/049,3.5,7.8
19/049,0.0,17.6
20/049,0.0,14.0
21/049,0.0,0.9
22/049,2.1,1.5
23/049,4.1,2.0
24/049,3.6,5.0
25/049,0.0,0.0
26/049,0.0,2.4
27/049,3.3,0.8
28/049,0.0,3.6
01/050,2.8,1.7
02/050,0.0,1.2
03/050,0.0,2.3
04/050,0.0,19.4
05/050,0.0,0.0
06/050,0.0,3.8
07/050,0.0,1.9
08/050,1.4,17.8
09/050,0.0,1.5
10/050,0.0,1.9
11/050,1.4,2.0
12/050,0.0,5.7
13/050,0.0,0.9
14/050,0.0,2.6
15/050,0.0,1.8
16/050,2.3,4.5
17/050,0.0,1.7
18/050,1.6,1.0
19/050,1.6,1.3
20/050,1.7,2.1
21/050,0.0,0.0
22/050,1.9,1.2
23/050,0.0,15.8
24/050,0.0,5.6
25/050,0.0,0.0
26/050,2.0,0.8
27/050,0.0,1.3
28/050,2.6,16.4
01/051,0.0,17.8
02/051,1.1,4.8
03/051,0.0,1.5
04/051,0.0,0.8
05/051,0.0,3.1
06/051,0.0,0.0
07/051,2.2,2.3
08/051,0.0,5.5
09/051,0.0,0.0
10/051,0.0,1.4
11/051,1.5,18.8
12/051,2.4,0.9
13/051,2.9,1.7
14/051,0.0,12.3
15/051,0.0,0.8
16/051,1.8,2.2
17/051,1.5,0.7
18/051,0.0,5.8
19/051,0.0,0.0
20/051,0.0,11.8
21/051,0.0,9.5
22/051,2.0,6.4
23/051,0.0,1.4
24/051,1.8,7.1
25/051,1.3,3.2
26/051,2.5,0.8
27/051,2.0,2.6
28/051,0.0,0.0
01/052,0.0,1.7
02/052,1.3,0.6
03/052,0.0,7.2
04/052,2.6,1.2
05/052,2.8,5.4
06/052,0.0,0.0
07/052,0.0,1.7
08/052,1.7,1.1
09/052,0.0,14.8
10/052,1.4,0.8
11/052,0.0,1.2
12/052,0.0,0.7
13/052,1.9,19.5
14/052,2.1,0.0
15/052,2.8,18.4
16/052,2.8,18.3
17/052,0.0,0.9
18/052,0.0,12.8
19/052,1.8,16.2
20/052,0.0,2.3
21/052,2.9,1.2
22/052,0.0,1.7
23/052,0.0,0.0
24/052,0.0,5.3
25/052,0.0,1.3
26/052,0.0,1.2
27/052,2.3,1.6
28/052,2.7,7.3
01/053,4.1,4.3
02/053,0.0,0.0
03/053,1.9,1.6
04/053,2.1,0.9
05/053,0.0,2.3
06/053,0.0,14.1
07/053,0.0,1.4
08/053,2.4,11.0
09/053,0.0,2.2
10/053,3.7,17.5
11/053,0.0,2.0
12/053,1.7,2.3
13/053,0.0,0.0
14/053,1.9,5.8
15/053,1.9,0.7
16/053,0.0,0.0
17/053,0.0,15.5
18/053,0.0,0.0
19/053,1.2,2.3
20/053,2.7,4.4
21/053,0.0,0.9
22/053,0.0,1.4
23/053,0.0,0.0
24/053,0.0,7.0
25/053,0.0,0.0
26/053,0.0,1.1
27/053,0.0,1.2
28/053,0.0,14.6
01/054,2.3,1.5
02/054,0.0,1.1
03/054,0.0,2.0
04/054,0.0,1.6
05/054,0.0,7.6
06/054,0.0,17.7
07/054,0.0,1.8
08/054,2.7,19.0
09/054,0.0,15.4
10/054,1.6,0.0
11/054,0.0,42.3
12/054,3.8,1.4
13/054,0.0,0.0
14/054,0.0,1.1
15/054,0.0,2.3
16/054,0.0,3.2
17/054,2.9,1.9
18/054,0.0,0.0
19/054,0.0,2.3
20/054,2.4,0.9
21/054,0.0,10.4
22/054,3.0,6.7
23/054,3.0,6.9
24/054,2.9,1.9
25/054,3.3,7.3
26/054,3.0,3.9
27/054,0.0,2.5
28/054,0.0,2.2
01/055,0.0,10.7
02/055,12.7,0.0
03/055,0.0,0.9
04/055,1.6,5.6
05/055,0.0,0.0
06/055,0.0,0.6
07/055,1.3,2.2
08/055,0.0,0.6
09/055,0.0,0.8
10/055,0.0,0.7
11/055,14.7,1.7
12/055,2.1,5.2
13/055,0.0,1.1
14/055,19.7,1.0
15/055,0.0,9.1
16/055,2.8,0.0
17/055,3.6,0.8
18/055,2.1,1.1
19/055,4.0,3.7
20/055,0.0,0.0
21/055,24.1,11.9
22/055,0.0,0.0
23/055,4.1,8.6
24/055,0.0,1.6
25/055,0.0,0.0
26/055,0.0,0.0
27/055,1.9,3.0
28/055,0.0,1.0
01/056,1.5,2.8
02/056,0.0,0.0
03/056,2.5,4.8
04/056,0.0,0.0
05/056,21.4,1.0
06/056,1.7,1.6
07/056,2.0,3.8
08/056,2.6,12.3
09/056,2.7,1.8
10/056,3.9,12.0
11/056,0.0,0.0
12/056,0.0,1.7
13/056,0.0,1.7
14/056,0.0,8.7
15/056,0.0,0.0
16/056,0.0,15.4
17/056,2.6,2.0
18/056,1.8,0.0
19/056,2.2,15.7
20/056,0.0,0.0
21/056,0.0,5.6
22/056,3.5,0.0
23/056,0.0,0.9
24/056,0.0,2.5
25/056,1.6,2.9
26/056,0.0,2.1
27/056,0.0,1.4
28/056,0.0,1.6
01/057,1.9,1.8
02/057,0.0,2.9
03/057,0.0,0.8
04/057,0.0,11.7
05/057,0.0,1.6
06/057,0.0,5.8
07/057,0.0,11.9
08/057,0.0,0.0
09/057,0.0,2.5
10/057,0.0,1.1
11/057,0.0,4.2
12/057,1.3,0.0
13/057,0.0,10.0
14/057,0.0,0.7
15/057,3.2,0.8
16/057,0.0,43.1
17/057,3.2,9.6
18/057,0.0,7.1
19/057,0.0,1.5
20/057,0.0,1.0
21/057,2.4,8.1
22/057,2.5,1.5
23/057,0.0,1.0
24/057,0.0,0.9
25/057,0.0,2.0
26/057,3.2,1.6
27/057,2.1,1.4
28/057,0.0,0.0
01/058,2.2,1.0
02/058,3.3,1.4
03/058,0.0,2.9
04/058,8.2,0.0
05/058,0.0,0.0
06/058,0.0,2.2
07/058,0.0,2.7
08/058,0.0,0.0
09/058,0.0,1.2
10/058,0.0,2.9
11/058,1.7,9.0
12/058,3.2,1.1
13/058,0.0,5.9
14/058,1.1,0.0
15/058,0.0,22.0
16/058,2.7,2.2
17/058,0.0,0.7
18/058,0.0,1.2
19/058,2.0,0.0
20/058,2.5,5.9
21/058,1.9,1.1
22/058,0.0,1.0
23/058,1.9,2.8
24/058,3.8,1.9
25/058,0.0,2.6
26/058,0.0,0.0
27/058,2.7,0.8
28/058,0.0,3.6
01/059,3.8,0.0
02/059,2.0,4.9
03/059,0.0,1.8
04/059,0.0,0.8
05/059,0.0,0.0
06/059,4.1,14.3
07/059,0.0,1.1
08/059,3.8,1.3
09/059,3.1,8.3
10/059,0.0,4.9
11/059,0.0,0.0
12/059,0.0,1.4
13/059,0.0,1.1
14/059,2.6,2.2
15/059,3.5,0.7
16/059,0.0,2.1
17/059,0.0,1.2
18/059,0.0,0.8
19/059,0.0,1.7
20/059,0.0,1.4
21/059,1.8,4.2
22/059,1.5,4.5
23/059,1.6,11.7
24/059,0.0,0.0
25/059,0.0,0.0
26/059,0.0,4.0
27/059,2.3,0.0
28/059,0.0,0.9
01/060,2.1,0.9
02/060,1.6,2.1
03/060,0.0,0.0
04/060,2.0,4.2
05/060,2.1,1.2
06/060,0.0,13.5
07/060,12.8,0.7
08/060,3.2,15.4
09/060,2.6,0.7
10/060,0.0,0.9
11/060,0.0,0.0
12/060,2.6,1.5
13/060,0.0,1.2
14/060,0.0,1.8
15/060,0.0,3.4
16/060,0.0,0.0
17/060,0.0,3.7
18/060,0.0,8.4
19/060,0.0,0.0
20/060,2.7,17.4
21/060,0.0,0.0
22/060,0.0,2.1
23/060,2.8,0.0
24/060,0.0,7.0
25/060,2.3,7.4
26/060,0.0,34.3
27/060,0.0,2.0
28/060,11.9,0.0
01/061,0.0,1.0
02/061,0.0,16.4
03/061,4.2,13.0
04/061,0.0,0.7
05/061,0.0,2.2
06/061,0.0,6.1
07/061,3.1,1.1
08/061,0.0,0.0
09/061,1.7,0.0
10/061,1.8,1.7
11/061,3.4,2.1
12/061,1.7,4.6
13/061,3.7,0.0
14/061,0.0,0.8
15/061,0.0,8.2
16/061,0.0,0.0
17/061,2.7,18.2
18/061,0.0,1.4
19/061,3.6,11.2
20/061,0.0,0.0
21/061,0.0,0.7
22/061,0.0,7.1
23/061,7.1,6.2
24/061,2.7,19.2
25/061,0.0,0.8
26/061,2.3,2.2
27/061,0.0,0.0
28/061,14.9,3.4
01/062,0.0,3.0
02/062,0.0,8.3
03/062,1.5,0.7
04/062,0.0,0.0
05/062,0.0,11.4
06/062,0.0,8.9
07/062,0.0,12.5
08/062,0.0,0.0
09/062,0.0,2.3
10/062,0.0,17.7
11/062,0.0,8.2
12/062,0.0,14.9
13/062,0.0,2.6
14/062,0.0,0.0
15/062,1.9,7.9
16/062,0.0,1.6
17/062,0.0,1.9
18/062,0.0,0.0
19/062,0.0,2.0
20/062,0.0,1.6
21/062,0.0,0.0
22/062,0.0,0.9
23/062,0.0,1.3
24/062,2.4,3.8
25/062,3.9,4.0
26/062,0.0,3.8
27/062,1.4,1.3
28/062,0.0,0.0
01/063,0.0,7.2
02/063,0.0,0.6
03/063,0.0,1.3
04/063,0.0,16.3
05/063,0.0,1.6
06/063,1.8,0.0
07/063,0.0,1.1
08/063,0.0,1.1
09/063,4.0,1.3
10/063,0.0,0.0
11/063,2.7,7.9
12/063,0.0,1.3
13/063,3.3,10.7
14/063,1.7,0.0
15/063,2.1,4.1
16/063,1.7,0.0
17/063,0.0,0.0
18/063,0.0,28.8
19/063,0.0,5.3
20/063,0.0,0.0
21/063,0.0,14.2
22/063,0.0,3.4
23/063,0.0,6.4
24/063,2.5,1.6
25/063,0.0,5.4
26/063,0.0,16.2
27/063,0.0,0.0
28/063,4.0,1.0
01/064,0.0,0.0
02/064,0.0,6.1
03/064,0.0,0.9
04/064,1.9,3.3
05/064,0.0,14.7
06/064,0.0,9.2
07/064,2.2,13.3
08/064,0.0,3.1
09/064,0.0,6.2
10/064,0.0,1.3
11/064,1.6,7.3
12/064,0.0,2.0
13/064,0.0,1.6
14/064,0.0,0.7
15/064,0.0,0.0
16/064,3.1,4.0
17/064,0.0,12.3
18/064,0.0,5.4
19/064,3.4,4.8
20/064,0.0,0.7
21/064,0.0,2.2
22/064,0.0,1.7
23/064,2.5,0.0
24/064,0.0,10.1
25/064,0.0,0.0
26/064,3.5,14.9
27/064,4.0,1.2
28/064,0.0,0.0
01/065,17.4,0.0
02/065,0.0,0.0
03/065,1.5,14.5
04/065,0.0,0.0
05/065,0.0,1.5
06/065,2.5,1.9
07/065,0.0,0.0
08/065,0.0,4.7
09/065,0.0,5.4
10/065,3.2,0.9
11/065,2.5,0.0
12/065,0.0,0.8
13/065,2.8,8.5
14/065,0.0,0.0
15/065,0.0,1.2
16/065,0.0,7.1
17/065,0.0,0.7
18/065,2.1,1.5
19/065,0.0,15.8
20/065,0.0,0.7
21/065,0.0,2.7
22/065,0.0,1.6
23/065,0.0,15.7
24/065,0.0,1.9
25/065,0.0,1.5
26/065,0.0,8.6
27/065,25.7,1.7
28/065,3.0,0.0
01/066,0.0,1.3
02/066,1.3,0.0
03/066,3.0,0.0
04/066,3.1,6.7
05/066,0.0,2.3
06/066,0.0,7.4
07/066,1.1,4.7
08/066,0.0,11.4
09/066,0.0,1.3
10/066,0.0,1.7
11/066,2.2,3.9
12/066,0.0,8.3
13/066,1.7,11.7
14/066,0.0,2.8
15/066,0.0,2.2
16/066,1.3,4.1
17/066,0.0,0.0
18/066,0.0,0.0
19/066,1.3,1.9
20/066,0.0,2.0
21/066,0.0,5.8
22/066,0.0,0.0
23/066,0.0,9.9
24/066,0.0,1.9
25/066,0.0,13.0
26/066,3.3,0.0
27/066,0.0,0.0
28/066,2.2,2.3
01/067,0.0,1.0
02/067,4.0,0.0
03/067,0.0,2.0
04/067,3.1,6.1
05/067,0.0,1.1
06/067,1.1,1.7
07/067,3.3,11.5
08/067,0.0,0.0
09/067,0.0,4.5
10/067,1.9,0.0
11/067,3.0,17.3
12/067,3.3,0.0
13/067,0.0,0.0
14/067,0.0,0.9
15/067,3.6,0.8
16/067,0.0,1.1
17/067,0.0,1.1
18/067,3.0,0.0
19/067,0.0,0.0
20/067,0.0,7.7
21/067,0.0,1.9
22/067,0.0,16.5
23/067,1.4,4.9
24/067,2.0,3.6
25/067,0.0,4.3
26/067,0.0,1.0
27/067,2.0,2.8
28/067,0.0,0.0
01/068,3.7,1.0
02/068,2.4,0.0
03/068,0.0,0.8
04/068,0.0,2.1
05/068,0.0,3.9
06/068,1.9,2.1
07/068,3.7,0.0
08/068,0.0,1.4
09/068,1.2,0.6
10/068,0.0,1.7
11/068,0.0,12.8
12/068,0.0,2.2
13/068,0.0,2.1
14/068,0.0,1.7
15/068,0.0,0.0
16/068,3.2,18.4
17/068,2.2,4.8
18/068,0.0,0.7
19/068,0.0,1.7
20/068,26.7,0.0
21/068,1.6,0.9
22/068,2.6,2.2
23/068,0.0,1.0
24/068,23.0,0.0
25/068,3.6,0.0
26/068,0.0,6.1
27/068,2.4,1.1
28/068,0.0,14.9
01/069,0.0,0.0
02/069,6.0,2.2
03/069,0.0,3.1
04/069,0.0,5.5
05/069,0.0,1.5
06/069,2.3,17.5
07/069,4.1,1.2
08/069,3.4,15.3
09/069,0.0,4.0
10/069,0.0,15.6
11/069,2.5,0.0
12/069,0.0,1.0
13/069,0.0,7.7
14/069,0.0,9.3
15/069,0.0,1.2
16/069,0.0,0.0
17/069,0.0,19.2
18/069,0.0,1.0
19/069,0.0,1.3
20/069,1.8,2.3
21/069,1.4,0.0
22/069,0.0,4.2
23/069,2.5,0.9
24/069,1.1,1.5
25/069,0.0,1.2
26/069,0.0,2.3
27/069,0.0,0.0
28/069,0.0,2.1
01/070,3.5,0.9
02/070,0.0,2.8
03/070,3.3,1.1
04/070,0.0,0.0
05/070,0.0,2.0
06/070,0.0,16.3
07/070,3.4,10.4
08/070,0.0,0.7
09/070,0.0,14.8
10/070,1.8,1.9
11/070,0.0,2.4
12/070,0.0,17.8
13/070,2.0,1.0
14/070,3.6,8.5
15/070,0.0,1.0
16/070,0.0,15.0
17/070,0.0,2.1
18/070,0.0,1.0
19/070,1.5,5.0
20/070,0.0,2.0
21/070,2.7,3.9
22/070,2.6,1.3
23/070,2.6,5.4
24/070,1.7,2.8
25/070,0.0,0.0
26/070,3.9,2.2
27/070,0.0,0.0
28/070,0.0,4.0
01/071,0.0,0.0
02/071,0.0,1.6
03/071,0.0,4.2
04/071,0.0,6.2
05/071,0.0,1.9
06/071,1.2,1.9
07/071,0.0,1.0
08/071,14.9,1.5
09/071,2.3,17.1
10/071,0.0,9.9
11/071,0.0,1.1
12/071,3.8,4.9
13/071,0.0,4.6
14/071,0.0,6.2
15/071,0.0,0.8
16/071,2.5,21.0
17/071,0.0,0.0
18/071,1.2,1.2
19/071,0.0,5.6
20/071,0.0,1.6
21/071,0.0,1.0
22/071,0.0,15.5
23/071,0.0,2.0
24/071,0.0,3.6
25/071,1.5,2.4
26/071,0.0,9.9
27/071,1.3,0.0
28/071,0.0,2.9
01/072,5.3,18.6
02/072,0.0,15.6
03/072,0.0,2.0
04/072,0.0,1.1
05/072,0.0,0.8
06/072,0.0,3.6
07/072,1.2,1.9
08/072,3.1,0.9
09/072,0.0,0.9
10/072,10.2,1.8
11/072,1.6,0.0
12/072,0.0,1.5
13/072,0.0,0.7
14/072,0.0,4.8
15/072,0.0,1.8
16/072,0.0,0.0
17/072,0.0,2.3
18/072,2.6,3.0
19/072,0.0,0.0
20/072,0.0,3.5
21/072,3.5,17.8
22/072,0.0,1.0
23/072,0.0,0.0
24/072,0.0,1.0
25/072,2.5,0.8
26/072,0.0,6.7
27/072,2.6,7.2
28/072,1.5,0.0
01/073,1.5,1.7
02/073,0.0,7.1
03/073,0.0,1.4
04/073,0.0,1.2
05/073,0.0,1.1
06/073,0.0,2.0
07/073,2.7,12.4
08/073,3.5,31.6
09/073,0.0,1.9
10/073,0.0,0.0
11/073,0.0,0.6
12/073,0.0,0.0
13/073,0.0,0.0
14/073,0.0,0.9
15/073,1.3,1.8
16/073,1.8,0.0
17/073,3.7,1.8
18/073,0.0,4.7
19/073,2.7,0.0
20/073,3.1,0.7
21/073,1.6,1.0
22/073,0.0,1.9
23/073,4.0,0.0
24/073,0.0,0.8
25/073,0.0,0.0
26/073,1.5,1.8
27/073,1.3,1.6
28/073,0.0,1.3
01/074,0.0,0.0
02/074,0.0,16.6
03/074,0.0,3.8
04/074,0.0,9.4
05/074,0.0,4.5
06/074,2.5,0.7
07/074,1.1,1.2
08/074,0.0,2.0
09/074,0.0,1.2
10/074,0.0,1.8
11/074,0.0,1.1
12/074,0.0,14.8
13/074,0.0,4.6
14/074,1.7,0.0
15/074,0.0,0.9
16/074,0.0,10.2
17/074,0.0,2.0
18/074,0.0,3.0
19/074,0.0,1.3
20/074,3.7,2.0
21/074,0.0,3.4
22/074,0.0,1.3
23/074,0.0,2.4
24/074,2.5,1.2
25/074,0.0,1.0
26/074,0.0,2.7
27/074,3.4,0.0
28/074,0.0,11.5
01/075,1.7,4.1
02/075,0.0,0.0
03/075,0.0,0.8
04/075,0.0,1.9
05/075,0.0,1.7
06/075,0.0,1.8
07/075,2.1,2.4
08/075,1.3,0.0
09/075,0.0,0.0
10/075,3.6,2.2
11/075,0.0,1.7
12/075,0.0,8.1
13/075,0.0,0.0
14/075,0.0,17.6
15/075,0.0,0.0
